EDGE_AI_BENCHMARK,version,2.0.0
CONFIG,model,logistic_regression,model_id,1,parameter_bytes,652,sample_period_us,24000,sample_rate_hz,41.666668,window_size,50,step_size,25,acceleration_unit,m_s2,gyroscope_unit,deg_s,oled,0
MEMORY_HEADER,model,stage,sketch_bytes,free_sketch_bytes,model_parameter_bytes,heap_total_bytes,heap_free_bytes,heap_min_free_bytes,largest_free_block_bytes,stack_high_water_bytes
PREDICTION_HEADER,window,model,time_ms,class_id,class_name,prob_reposo,prob_suave,prob_brusco,feature_us,inference_us,total_us,heap_free_bytes,heap_min_free_bytes,stack_high_water_bytes,read_errors,missed_deadlines
STATUS,calibrating_keep_sensor_still_z_up
CALIBRATION,accel_offset_g,0.000000000,0.000000000,0.000000000,gyro_offset_deg_s,0.000000000,0.000000000,0.000000000
MEMORY,logistic_regression,after_setup,314080,0,652,373568,328332,322368,110580,6716
STATUS,ready_waiting_for_50_samples
PREDICTION,1,logistic_regression,3459,0,reposo,0.996179581,0.003818573,0.000001866,2786.000,568.000,3359.000,328332,322368,6716,0,0
BENCHMARK_HEADER,model,stage,repetitions,inner_iterations,min_us,median_us,p95_us,mean_us,max_us
MEMORY,logistic_regression,before_benchmark,314080,0,652,373568,328332,322368,110580,6592
BENCHMARK,logistic_regression,feature_extraction,200,1,2630.000000,2652.000000,2790.000000,2693.120117,2810.000000
BENCHMARK,logistic_regression,model_inference,200,100,590.119995,591.440002,591.479980,591.266418,591.659973
BENCHMARK,logistic_regression,features_plus_inference,200,1,3163.000000,3319.000000,3325.000000,3283.250000,3341.000000
MEMORY,logistic_regression,after_benchmark,314080,0,652,373568,328332,322368,110580,6592
BENCHMARK_SINK,0.000020144
PREDICTION,2,logistic_regression,17559,0,reposo,0.826923907,0.172996521,0.000079512,2652.000,676.000,3361.000,328332,322368,6592,0,0
PREDICTION,3,logistic_regression,18159,0,reposo,0.825425267,0.174494609,0.000080131,2653.000,676.000,3362.000,328332,322368,6592,0,0
PREDICTION,4,logistic_regression,18759,1,suave,0.107440837,0.892183185,0.000375937,2651.000,676.000,3360.000,328332,322368,6592,0,0
PREDICTION,5,logistic_regression,19359,1,suave,0.042177554,0.957284689,0.000537848,2652.000,675.000,3361.000,328332,322368,6592,0,0
PREDICTION,6,logistic_regression,19959,1,suave,0.000000000,0.997301280,0.002698692,2653.000,676.000,3362.000,328332,322368,6592,0,0
PREDICTION,7,logistic_regression,20559,1,suave,0.000000000,0.998228252,0.001771759,2651.000,676.000,3360.000,328332,322368,6592,0,0
PREDICTION,8,logistic_regression,21159,1,suave,0.000000240,0.998956203,0.001043595,2653.000,676.000,3362.000,328332,322368,6592,0,0
