EDGE_AI_BENCHMARK,version,2.0.0
CONFIG,model,decision_tree_d6,model_id,2,parameter_bytes,819,sample_period_us,24000,sample_rate_hz,41.666668,window_size,50,step_size,25,acceleration_unit,m_s2,gyroscope_unit,deg_s,oled,0
MEMORY_HEADER,model,stage,sketch_bytes,free_sketch_bytes,model_parameter_bytes,heap_total_bytes,heap_free_bytes,heap_min_free_bytes,largest_free_block_bytes,stack_high_water_bytes
PREDICTION_HEADER,window,model,time_ms,class_id,class_name,prob_reposo,prob_suave,prob_brusco,feature_us,inference_us,total_us,heap_free_bytes,heap_min_free_bytes,stack_high_water_bytes,read_errors,missed_deadlines
STATUS,calibrating_keep_sensor_still_z_up
CALIBRATION,accel_offset_g,0.000000000,0.000000000,0.000000000,gyro_offset_deg_s,0.000000000,0.000000000,0.000000000
MEMORY,decision_tree_d6,after_setup,313408,0,819,373568,328332,322368,110580,6716
STATUS,ready_waiting_for_50_samples
PREDICTION,1,decision_tree_d6,3457,0,reposo,1.000000000,0.000000000,0.000000000,2707.000,17.000,2757.000,328332,322368,6716,0,0
BENCHMARK_HEADER,model,stage,repetitions,inner_iterations,min_us,median_us,p95_us,mean_us,max_us
MEMORY,decision_tree_d6,before_benchmark,313408,0,819,373568,328332,322368,110580,6716
BENCHMARK,decision_tree_d6,feature_extraction,200,1,2631.000000,2652.000000,2790.000000,2693.564941,2810.000000
BENCHMARK,decision_tree_d6,model_inference,200,100,11.310000,12.890000,12.920000,12.547050,13.100000
BENCHMARK,decision_tree_d6,features_plus_inference,200,1,2643.000000,2663.000000,2802.000000,2704.840088,2828.000000
MEMORY,decision_tree_d6,after_benchmark,313408,0,819,373568,328332,322368,110580,6688
BENCHMARK_SINK,0.000020226
PREDICTION,2,decision_tree_d6,5855,0,reposo,1.000000000,0.000000000,0.000000000,2654.000,17.000,2705.000,328332,322368,6688,0,0
PREDICTION,3,decision_tree_d6,6455,0,reposo,1.000000000,0.000000000,0.000000000,2656.000,17.000,2706.000,328332,322368,6688,0,0
PREDICTION,4,decision_tree_d6,7055,0,reposo,1.000000000,0.000000000,0.000000000,2653.000,17.000,2703.000,328332,322368,6688,0,0
PREDICTION,5,decision_tree_d6,7655,0,reposo,1.000000000,0.000000000,0.000000000,2656.000,17.000,2706.000,328332,322368,6688,0,0
PREDICTION,6,decision_tree_d6,8255,0,reposo,1.000000000,0.000000000,0.000000000,2656.000,17.000,2706.000,328332,322368,6688,0,0
PREDICTION,7,decision_tree_d6,8855,0,reposo,1.000000000,0.000000000,0.000000000,2653.000,17.000,2703.000,328332,322368,6688,0,0
