EDGE_AI_BENCHMARK,version,2.0.0
CONFIG,model,random_forest_compact,model_id,3,parameter_bytes,16527,sample_period_us,24000,sample_rate_hz,41.666668,window_size,50,step_size,25,acceleration_unit,m_s2,gyroscope_unit,deg_s,oled,0
MEMORY_HEADER,model,stage,sketch_bytes,free_sketch_bytes,model_parameter_bytes,heap_total_bytes,heap_free_bytes,heap_min_free_bytes,largest_free_block_bytes,stack_high_water_bytes
PREDICTION_HEADER,window,model,time_ms,class_id,class_name,prob_reposo,prob_suave,prob_brusco,feature_us,inference_us,total_us,heap_free_bytes,heap_min_free_bytes,stack_high_water_bytes,read_errors,missed_deadlines
STATUS,calibrating_keep_sensor_still_z_up
CALIBRATION,accel_offset_g,0.000000000,0.000000000,0.000000000,gyro_offset_deg_s,0.000000000,0.000000000,0.000000000
MEMORY,random_forest_compact,after_setup,329584,0,16527,373568,328332,322368,110580,6716
STATUS,ready_waiting_for_50_samples
PREDICTION,1,random_forest_compact,3489,0,reposo,1.000000000,0.000000000,0.000000000,2790.000,67.000,2882.000,328332,322368,6716,0,0
BENCHMARK_HEADER,model,stage,repetitions,inner_iterations,min_us,median_us,p95_us,mean_us,max_us
MEMORY,random_forest_compact,before_benchmark,329584,0,16527,373568,328332,322368,110580,6672
BENCHMARK,random_forest_compact,feature_extraction,200,1,2628.000000,2651.000000,2790.000000,2693.330078,2809.000000
BENCHMARK,random_forest_compact,model_inference,200,100,170.029999,170.990005,171.029999,170.886047,171.169998
BENCHMARK,random_forest_compact,features_plus_inference,200,1,2822.000000,2843.000000,2975.000000,2862.560059,2987.000000
MEMORY,random_forest_compact,after_benchmark,329584,0,16527,373568,328332,322368,110580,6672
BENCHMARK_SINK,0.000020226
PREDICTION,2,random_forest_compact,9105,0,reposo,1.000000000,0.000000000,0.000000000,2657.000,197.000,2888.000,328332,322368,6672,0,0
PREDICTION,3,random_forest_compact,9705,0,reposo,1.000000000,0.000000000,0.000000000,2657.000,197.000,2887.000,328332,322368,6672,0,0
PREDICTION,4,random_forest_compact,10305,0,reposo,1.000000000,0.000000000,0.000000000,2654.000,197.000,2884.000,328332,322368,6672,0,0
PREDICTION,5,random_forest_compact,10905,0,reposo,1.000000000,0.000000000,0.000000000,2657.000,197.000,2887.000,328332,322368,6672,0,0
PREDICTION,6,random_forest_compact,11505,0,reposo,1.000000000,0.000000000,0.000000000,2654.000,197.000,2884.000,328332,322368,6672,0,0
PREDICTION,7,random_forest_compact,12105,0,reposo,1.000000000,0.000000000,0.000000000,2654.000,197.000,2884.000,328332,322368,6672,0,0
