EDGE_AI_BENCHMARK,version,2.0.0
CONFIG,model,mlp_compact_32_16,model_id,4,parameter_bytes,6796,sample_period_us,24000,sample_rate_hz,41.666668,window_size,50,step_size,25,acceleration_unit,m_s2,gyroscope_unit,deg_s,oled,0
MEMORY_HEADER,model,stage,sketch_bytes,free_sketch_bytes,model_parameter_bytes,heap_total_bytes,heap_free_bytes,heap_min_free_bytes,largest_free_block_bytes,stack_high_water_bytes
PREDICTION_HEADER,window,model,time_ms,class_id,class_name,prob_reposo,prob_suave,prob_brusco,feature_us,inference_us,total_us,heap_free_bytes,heap_min_free_bytes,stack_high_water_bytes,read_errors,missed_deadlines
STATUS,calibrating_keep_sensor_still_z_up
CALIBRATION,accel_offset_g,0.000000000,0.000000000,0.000000000,gyro_offset_deg_s,0.000000000,0.000000000,0.000000000
MEMORY,mlp_compact_32_16,after_setup,320400,0,6796,373568,328332,322368,110580,6716
STATUS,ready_waiting_for_50_samples
PREDICTION,1,mlp_compact_32_16,3472,0,reposo,0.999995470,0.000002371,0.000002188,2787.000,1055.000,3864.000,328332,322368,6716,0,0
BENCHMARK_HEADER,model,stage,repetitions,inner_iterations,min_us,median_us,p95_us,mean_us,max_us
MEMORY,mlp_compact_32_16,before_benchmark,320400,0,6796,373568,328332,322368,110580,6672
BENCHMARK,mlp_compact_32_16,feature_extraction,200,1,2629.000000,2652.000000,2790.000000,2693.889893,2817.000000
BENCHMARK,mlp_compact_32_16,model_inference,200,100,1157.910034,1158.170044,1159.430054,1158.376587,1159.719971
BENCHMARK,mlp_compact_32_16,features_plus_inference,200,1,3808.000000,3828.000000,3935.000000,3848.784912,3987.000000
MEMORY,mlp_compact_32_16,after_benchmark,320400,0,6796,373568,328332,322368,110580,6672
BENCHMARK_SINK,0.000020226
PREDICTION,2,mlp_compact_32_16,29046,1,suave,0.000000000,0.993455827,0.006544149,2652.000,1183.000,3869.000,328332,322368,6672,0,0
PREDICTION,3,mlp_compact_32_16,29646,0,reposo,0.999995470,0.000002371,0.000002188,2653.000,1183.000,3869.000,328332,322368,6672,0,0
PREDICTION,4,mlp_compact_32_16,30246,0,reposo,0.998244882,0.001464711,0.000290474,2650.000,1183.000,3867.000,328332,322368,6672,0,0
PREDICTION,5,mlp_compact_32_16,30846,0,reposo,0.828053653,0.153863475,0.018082874,2653.000,1183.000,3869.000,328332,322368,6672,0,0
PREDICTION,6,mlp_compact_32_16,31446,1,suave,0.000000028,0.950401843,0.049598128,2652.000,1184.000,3869.000,328332,322368,6672,0,0
PREDICTION,7,mlp_compact_32_16,32046,2,brusco,0.000000426,0.486743033,0.513256550,2651.000,1179.000,3863.000,328332,322368,6672,0,0
