EDGE_AI_BENCHMARK,version,2.0.0
CONFIG,model,mlp_reference_64_32,model_id,5,parameter_bytes,17420,sample_period_us,24000,sample_rate_hz,41.666668,window_size,50,step_size,25,acceleration_unit,m_s2,gyroscope_unit,deg_s,oled,0
MEMORY_HEADER,model,stage,sketch_bytes,free_sketch_bytes,model_parameter_bytes,heap_total_bytes,heap_free_bytes,heap_min_free_bytes,largest_free_block_bytes,stack_high_water_bytes
PREDICTION_HEADER,window,model,time_ms,class_id,class_name,prob_reposo,prob_suave,prob_brusco,feature_us,inference_us,total_us,heap_free_bytes,heap_min_free_bytes,stack_high_water_bytes,read_errors,missed_deadlines
STATUS,calibrating_keep_sensor_still_z_up
CALIBRATION,accel_offset_g,0.000000000,0.000000000,0.000000000,gyro_offset_deg_s,0.000000000,0.000000000,0.000000000
MEMORY,mlp_reference_64_32,after_setup,331024,0,17420,373568,328332,322368,110580,6716
STATUS,ready_waiting_for_50_samples
PREDICTION,1,mlp_reference_64_32,3494,0,reposo,0.999947071,0.000042498,0.000010372,2781.000,2644.000,5426.000,328332,322368,6716,0,0
BENCHMARK_HEADER,model,stage,repetitions,inner_iterations,min_us,median_us,p95_us,mean_us,max_us
MEMORY,mlp_reference_64_32,before_benchmark,331024,0,17420,373568,328332,322368,110580,6716
BENCHMARK,mlp_reference_64_32,feature_extraction,200,1,2631.000000,2651.000000,2806.000000,2692.544922,2811.000000
BENCHMARK,mlp_reference_64_32,model_inference,200,100,2650.120117,2651.350098,2651.419922,2651.200195,2651.530029
BENCHMARK,mlp_reference_64_32,features_plus_inference,200,1,5230.000000,5387.000000,5393.000000,5342.794922,5409.000000
MEMORY,mlp_reference_64_32,after_benchmark,331024,0,17420,373568,328332,322368,110580,6640
BENCHMARK_SINK,0.000020219
PREDICTION,2,mlp_reference_64_32,59268,0,reposo,0.999947071,0.000042498,0.000010372,2652.000,2713.000,5399.000,328332,322368,6640,0,0
PREDICTION,3,mlp_reference_64_32,59868,0,reposo,0.999947071,0.000042498,0.000010372,2653.000,2713.000,5399.000,328332,322368,6640,0,0
PREDICTION,4,mlp_reference_64_32,60468,0,reposo,0.999947071,0.000042498,0.000010372,2652.000,2714.000,5399.000,328332,322368,6640,0,0
PREDICTION,5,mlp_reference_64_32,61068,0,reposo,0.999947071,0.000042498,0.000010372,2652.000,2713.000,5399.000,328332,322368,6640,0,0
PREDICTION,6,mlp_reference_64_32,61668,0,reposo,0.999947071,0.000042498,0.000010372,2653.000,2713.000,5399.000,328332,322368,6640,0,0
PREDICTION,7,mlp_reference_64_32,62268,2,brusco,0.000000000,0.000000181,0.999999762,2652.000,2714.000,5399.000,328332,322368,6640,0,0
