model,outer_fold,held_out_subject,label,precision,recall,f1,support
Logistic Regression,1,1,0,0.9944289693593314,1.0,0.9972067039106145,357
Logistic Regression,1,1,1,0.8380952380952381,0.9859943977591037,0.9060489060489061,357
Logistic Regression,1,1,2,0.9897260273972602,0.8095238095238095,0.8906009244992296,357
Logistic Regression,2,2,0,1.0,1.0,1.0,357
Logistic Regression,2,2,1,1.0,0.9635854341736695,0.9814550641940085,357
Logistic Regression,2,2,2,0.9648648648648649,1.0,0.9821182943603851,357
Logistic Regression,3,3,0,0.9834254143646409,0.9971988795518207,0.9902642559109874,357
Logistic Regression,3,3,1,0.9971590909090909,0.9831932773109243,0.9901269393511989,357
Logistic Regression,3,3,2,1.0,1.0,1.0,357
Logistic Regression,4,4,0,1.0,1.0,1.0,357
Logistic Regression,4,4,1,1.0,1.0,1.0,357
Logistic Regression,4,4,2,1.0,1.0,1.0,357
Logistic Regression,5,5,0,0.9972067039106145,1.0,0.9986013986013986,357
Logistic Regression,5,5,1,1.0,0.9551820728291317,0.9770773638968482,357
Logistic Regression,5,5,2,0.9596774193548387,1.0,0.9794238683127572,357
Decision Tree d6,1,1,0,1.0,1.0,1.0,357
Decision Tree d6,1,1,1,0.857487922705314,0.9943977591036415,0.920881971465629,357
Decision Tree d6,1,1,2,0.9933333333333333,0.834733893557423,0.9071537290715372,357
Decision Tree d6,2,2,0,1.0,1.0,1.0,357
Decision Tree d6,2,2,1,1.0,0.9663865546218487,0.9829059829059829,357
Decision Tree d6,2,2,2,0.967479674796748,1.0,0.9834710743801653,357
Decision Tree d6,3,3,0,1.0,1.0,1.0,357
Decision Tree d6,3,3,1,1.0,1.0,1.0,357
Decision Tree d6,3,3,2,1.0,1.0,1.0,357
Decision Tree d6,4,4,0,1.0,1.0,1.0,357
Decision Tree d6,4,4,1,1.0,1.0,1.0,357
Decision Tree d6,4,4,2,1.0,1.0,1.0,357
Decision Tree d6,5,5,0,0.9889196675900277,1.0,0.9944289693593314,357
Decision Tree d6,5,5,1,1.0,0.9607843137254902,0.98,357
Decision Tree d6,5,5,2,0.9727520435967303,1.0,0.9861878453038674,357
Random Forest compact,1,1,0,0.9971988795518207,0.9971988795518207,0.9971988795518207,357
Random Forest compact,1,1,1,0.8734491315136477,0.9859943977591037,0.9263157894736842,357
Random Forest compact,1,1,2,0.9871382636655949,0.8599439775910365,0.9191616766467066,357
Random Forest compact,2,2,0,1.0,1.0,1.0,357
Random Forest compact,2,2,1,1.0,0.9831932773109243,0.9915254237288136,357
Random Forest compact,2,2,2,0.9834710743801653,1.0,0.9916666666666667,357
Random Forest compact,3,3,0,1.0,1.0,1.0,357
Random Forest compact,3,3,1,1.0,1.0,1.0,357
Random Forest compact,3,3,2,1.0,1.0,1.0,357
Random Forest compact,4,4,0,1.0,1.0,1.0,357
Random Forest compact,4,4,1,1.0,1.0,1.0,357
Random Forest compact,4,4,2,1.0,1.0,1.0,357
Random Forest compact,5,5,0,0.9889196675900277,1.0,0.9944289693593314,357
Random Forest compact,5,5,1,1.0,0.9719887955182073,0.9857954545454546,357
Random Forest compact,5,5,2,0.9834710743801653,1.0,0.9916666666666667,357
MLP compact 32-16,1,1,0,1.0,0.9915966386554622,0.9957805907172996,357
MLP compact 32-16,1,1,1,0.838479809976247,0.988795518207283,0.9074550128534704,357
MLP compact 32-16,1,1,2,0.9864864864864865,0.8179271708683473,0.8943338437978561,357
MLP compact 32-16,2,2,0,1.0,1.0,1.0,357
MLP compact 32-16,2,2,1,1.0,0.9775910364145658,0.9886685552407932,357
MLP compact 32-16,2,2,2,0.9780821917808219,1.0,0.9889196675900277,357
MLP compact 32-16,3,3,0,0.9861878453038674,1.0,0.9930458970792768,357
MLP compact 32-16,3,3,1,1.0,0.9859943977591037,0.9929478138222849,357
MLP compact 32-16,3,3,2,1.0,1.0,1.0,357
MLP compact 32-16,4,4,0,0.9972067039106145,1.0,0.9986013986013986,357
MLP compact 32-16,4,4,1,1.0,0.9971988795518207,0.9985974754558204,357
MLP compact 32-16,4,4,2,1.0,1.0,1.0,357
MLP compact 32-16,5,5,0,0.9916666666666667,1.0,0.99581589958159,357
MLP compact 32-16,5,5,1,1.0,0.9551820728291317,0.9770773638968482,357
MLP compact 32-16,5,5,2,0.9648648648648649,1.0,0.9821182943603851,357
MLP reference 64-32,1,1,0,1.0,0.9915966386554622,0.9957805907172996,357
MLP reference 64-32,1,1,1,0.7981859410430839,0.9859943977591037,0.8822055137844611,357
MLP reference 64-32,1,1,2,0.9818840579710145,0.7591036414565826,0.8562401263823065,357
MLP reference 64-32,2,2,0,1.0,1.0,1.0,357
MLP reference 64-32,2,2,1,1.0,0.9859943977591037,0.9929478138222849,357
MLP reference 64-32,2,2,2,0.9861878453038674,1.0,0.9930458970792768,357
MLP reference 64-32,3,3,0,0.9861878453038674,1.0,0.9930458970792768,357
MLP reference 64-32,3,3,1,1.0,0.9859943977591037,0.9929478138222849,357
MLP reference 64-32,3,3,2,1.0,1.0,1.0,357
MLP reference 64-32,4,4,0,1.0,1.0,1.0,357
MLP reference 64-32,4,4,1,1.0,1.0,1.0,357
MLP reference 64-32,4,4,2,1.0,1.0,1.0,357
MLP reference 64-32,5,5,0,1.0,1.0,1.0,357
MLP reference 64-32,5,5,1,1.0,0.9607843137254902,0.98,357
MLP reference 64-32,5,5,2,0.9622641509433962,1.0,0.9807692307692307,357
