model,model_slug,outer_fold,held_out_subject,n_train_windows,n_test_windows,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,log_loss,brier_multiclass,fit_time_pc_s,predict_fold_time_pc_s,predict_per_window_pc_us,inner_best_f1_macro,selected_parameters
Logistic Regression,logistic_regression,1,1,4284,1071,0.9318394024276377,0.9318394024276376,0.9407500782839433,0.9318394024276376,0.93128551148625,0.278751469129461,0.11953959793558805,1.6363155470007769,0.0018539939992479049,1.7310868340316572,0.9920608307368111,"{""model__C"": 10.0}"
Logistic Regression,logistic_regression,2,2,4284,1071,0.9878618113912232,0.9878618113912232,0.9882882882882883,0.9878618113912232,0.9878577861847978,0.033575041427906495,0.018597582656193202,0.18514030000005732,0.001962063999599195,1.8319925299712374,0.9723362772817336,"{""model__C"": 10.0}"
Logistic Regression,logistic_regression,3,3,4284,1071,0.9934640522875817,0.9934640522875817,0.9935281684245773,0.9934640522875817,0.9934637317540621,0.019449181804847237,0.011037289709977601,0.22689346100014518,0.0019201719987904653,1.7928776832777453,0.970269706253654,"{""model__C"": 10.0}"
Logistic Regression,logistic_regression,4,4,4284,1071,1.0,1.0,1.0,1.0,1.0,0.005819648440856296,0.0012508169434647801,0.2805771380008082,0.001973821999854408,1.842971054952762,0.97205545209275,"{""model__C"": 10.0}"
Logistic Regression,logistic_regression,5,5,4284,1071,0.9850606909430439,0.9850606909430439,0.9856280410884845,0.9850606909430439,0.9850342102703347,0.0846848826868814,0.026919481060975487,0.31469210499926703,0.0020098050008527935,1.8765686282472396,0.9798236141266168,"{""model__C"": 10.0}"
Decision Tree d6,decision_tree_d6,1,1,4284,1071,0.9430438842203548,0.9430438842203549,0.9502737520128824,0.9430438842203549,0.9426785668457219,2.0529064955519574,0.11391223155929038,0.3466354259999207,0.001352197999949567,1.2625564892152819,0.9897092482160225,"{""max_depth"": 4, ""min_samples_leaf"": 1}"
Decision Tree d6,decision_tree_d6,2,2,4284,1071,0.988795518207283,0.988795518207283,0.989159891598916,0.988795518207283,0.9887923524287161,0.37361970804735783,0.022413725043221287,0.33572254099999554,0.001232180000442895,1.1504948650260458,0.9692761224356469,"{""max_depth"": 6, ""min_samples_leaf"": 5}"
Decision Tree d6,decision_tree_d6,3,3,4284,1071,1.0,1.0,1.0,1.0,1.0,0.0018646561648831617,0.00023073058144553368,0.33881261100032134,0.001447329999791691,1.351381885893269,0.9747794976362097,"{""max_depth"": 6, ""min_samples_leaf"": 1}"
Decision Tree d6,decision_tree_d6,4,4,4284,1071,1.0,1.0,1.0,1.0,1.0,0.00156332016189565,0.00015556530889936974,0.2468766929996491,0.0013634749993798323,1.2730859004480226,0.9795857977072094,"{""max_depth"": 6, ""min_samples_leaf"": 1}"
Decision Tree d6,decision_tree_d6,5,5,4284,1071,0.9869281045751634,0.9869281045751634,0.9872239037289194,0.9869281045751634,0.9868722715543997,0.4404954449359694,0.026212728477634444,0.33144370099944354,0.0013365550003072713,1.2479505138256501,0.9810530916602932,"{""max_depth"": 8, ""min_samples_leaf"": 5}"
